"POLLING_PLACE","LONGITUDE","LATITUDE",""
"ANDRES BONIFACIO ELEMENTARY SCHOOL","120.9732945","14.6563394",""
"A. BONIFACIO ELEMENTARY SCHOOL","120.9732945","14.6563394",""
"LIBIS TALISAY ELEMENTARY SCHOOL","120.9708882","14.6556528",""
"LIBIS TALISAY ELEMENTARY SCHOOL","120.9698574","14.6548698",""
"KAUNLARAN ELEMENTARY SCHOOL","120.9696686","14.647104",""
"CALOOCAN CENTRAL ELEMENTARY SCHOOL","120.9740851","14.6502466",""
"MACARIO ASISTIO HIGH SCHOOL","120.9633904","14.6494173",""
"SAMPALUKAN ELEMENTARY SCHOOL","120.9731702","14.6440618",""
"LERMA ELEM. SCHOOL","120.9724542","14.6400341",""
"KASARINLAN ELEM. SCHOOL","120.9691804","14.641985",""
"MAYPAJO ELEM. SCHOOL","120.97316","14.63785",""
"MAYPAJO HIGH SCHOOL","120.97316","14.63785",""
"BARANGAY HALL (BRGY. 39)","120.9965951","14.5489566",""
"BARANGAY HALL (BRGY. 40)","120.982511","14.638944",""
"BARANGAY HALL (BRGY. 41)","120.982339","14.640426",""
"BARANGAY HALL (BRGY. 42)","120.980518","14.639675",""
"BARANGAY HALL (BRGY. 44)","120.980088","14.641872",""
"BARANGAY HALL (BRGY. 45)","120.979078","14.640616",""
"GRACE PARK ELEM. SCHOOL (MAIN)","120.9768867","14.6455499",""
"CALOOCAN HIGH SCHOOL","120.981693","14.651281",""
"GREGORIA DE JESUS ELEM. SCHOOL","120.9805885","14.6506256",""
"GOMBURZA ELEM. SCHOOL (FORMERLY C. APOSTOL ELEM. S...)","120.977703","14.657402",""
"SAINT GABRIEL ACADEMY","120.981094","14.658747",""
"BUENA PARK UNIVERSITY HILLS","120.976829","14.661351",""
"MORNING BREEZE ELEMENTARY SCHOOL","120.988647","14.661636",""
"MORNING BREEZE ELEMENTARY SCHOOL","120.988647","14.6616361",""
"MARIA CLARA HIGH SCHOOL","120.9855359","14.6484619",""
"WORLD CITI COLLEGES (FORMERLY HOLY TRINITY)","120.991572","14.656146",""
"CECILIO APOSTOL ELEM. SCHOOL","120.9855153","14.6478494",""
"EULOGIO RODRIGUEZ ELEM. SCHOOL","120.9951727","14.6528844",""
"EULOGIO RODRIGUEZ ELEM. SCHOOL","120.9633904","14.6528844",""
"PHILIPPINE CULTURAL COLLEGE","120.9927","14.648466",""
"TANDANG SORA INTEGRATED SCHOOL","120.9924336","14.6475339",""
"BAGONG SILANG ELEM. SCHOOL","120.985103","14.6425545",""
"C. ARELLANO ELEM. SCHOOL","120.991364","14.644397",""
"SAN JOSE ELEM. SCHOOL","120.9891225","14.6391947",""
"BAGONG BARRIO NATIONAL HIGH SCHOOL","120.9947976","14.6654198",""
"BAGONG BARRIO ELEMENTARY SCHOOL","0120.9926708","14.6645327",""
"BAGONG BARRIO ELEMENTARY SCHOOL","120.9926708","14.6645327",""
"BARANGAY HALL (BRGY. 154)","120.99996","14.665358",""
